id;"protected;";"followers_count;";"friends_count;";"favourites_count;";"profile_use_background_image;";"hashtags_average;";"mentions_average;";"urls_average;";"description;";"statuses_count;";"listed_count;";"verified;";"contributors_enabled;";"default_profile;";"default_profile_image;";"is_translator;";is_fake
171;FALSE;62862;44567;77689;TRUE;0;0.1;0.6;160;5281;117;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
172;FALSE;24712;21327;85414;TRUE;0;0.85;0.05;49;22674;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
173;FALSE;81;65;1844;TRUE;0.9;0.1;0;105;1578;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
174;FALSE;427;243;3264;TRUE;0;0.35;0;115;1446;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
175;FALSE;2148;2280;5757;TRUE;0.6;2;0;96;3181;1;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
176;FALSE;41;11;1;TRUE;0.7;0.5;0.4;0;69;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
177;FALSE;1346;893;4009;TRUE;0.2;0.4;0.05;122;4765;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
178;FALSE;626;713;360;TRUE;0.15;1.2;0.05;62;445;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
179;FALSE;216353;94;184372;TRUE;0.05;0.3;0.2;38;2539;115;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
180;FALSE;12;30;97;TRUE;0.95;0;0;0;209;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
181;FALSE;170;222;1258;FALSE;0.6;0.55;0;127;234;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
182;FALSE;18983;15758;5764;TRUE;0.8;0.7;0.65;160;119010;134;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
183;FALSE;423588;367306;3098;TRUE;0;0.1;0.25;79;1767;112;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
184;FALSE;540;913;2760;TRUE;0.05;1.05;0.1;38;789;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
185;FALSE;2106;486;5646;FALSE;0.3;0.5;0.1;58;3263;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
186;FALSE;3699;3462;33092;TRUE;0.25;0.7;0.15;105;6813;9;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
187;FALSE;340;196;447;TRUE;0.05;1.15;0.25;17;5888;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
188;FALSE;115;35;3003;TRUE;1.15;0.7;0.6;160;3702;0;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
189;FALSE;336;117;93;TRUE;0.15;0.55;0.05;68;143;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
190;FALSE;33;30;137;TRUE;0.65;1.3;0;0;6635;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
191;FALSE;287;802;332;TRUE;0.65;0.9;0.2;0;2411;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
192;FALSE;193;124;421;TRUE;0;0.89;0.16;0;1308;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
193;FALSE;4635;204;3907;TRUE;0.5;0.15;0.5;104;1444;5;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
194;FALSE;3381;5000;6213;TRUE;1.3;1.15;0.55;55;2269;1;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE
195;FALSE;65930;13304;70;FALSE;0.65;0.75;0.55;153;241;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
196;FALSE;24;56;8;TRUE;0.31;0.63;0.06;33;16;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
197;FALSE;497;209;2410;TRUE;0;0.55;0;44;7867;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
198;FALSE;1380;193;53;TRUE;0.15;0.05;0;101;14869;9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
199;FALSE;539;347;4279;TRUE;0.11;0.67;0;72;2851;2;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
200;FALSE;384;169;3646;TRUE;0.1;0.2;0;31;885;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
201;FALSE;341;499;3928;TRUE;0;0;0;37;802;0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
202;FALSE;5436;4468;23393;TRUE;0.25;0.75;0.25;58;1914;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
203;FALSE;606;217;3234;TRUE;0;0.7;0.1;33;12222;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
204;FALSE;942;344;8765;TRUE;0;0.1;0;19;510;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
